id	gender	role	language_english	duration_in_days	publications	organic_tweets	follower_global	followees_global	follower_researcher	follower_researcher_phd	follower_researcher_prof	follower_researcher_male	follower_researcher_female	follower_researcher_male_phd	follower_researcher_male_prof	follower_researcher_female_phd	follower_researcher_female_prof	follower_reciprocal_researcher	follower_reciprocal_researcher_phd	follower_reciprocal_researcher_prof	follower_reciprocal_researcher_male	follower_reciprocal_researcher_female	follower_reciprocal_researcher_male_phd	follower_reciprocal_researcher_male_prof	follower_reciprocal_researcher_female_phd	follower_reciprocal_researcher_female_prof	633	NA	NA	1	2728	24	277	92876	1056	844	151	98	402	159	54	50	30	18	75	6	18	36	18	1	8	2	6
755541	male	NA	1	2519	1	643	304	486	12	3	2	6	3	2	1	0	1	9	3	1	5	2	2	1	0	0
756137	male	phd	1	2519	5	0	83	84	4	1	1	1	2	1	0	0	0	2	0	1	0	1	0	0	0	0
759249	male	NA	1	2517	12	177	1386	477	85	21	13	35	9	8	7	1	1	37	2	11	19	6	1	6	0	1
759574	male	NA	1	2517	4	4	57	61	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
759720	NA	NA	1	2517	18	547	1393	592	45	4	5	20	4	1	1	0	0	21	1	5	8	2	0	1	0	0
764953	male	professor	1	2515	65	423	1761	434	82	11	12	36	10	3	6	1	1	23	1	6	14	4	0	5	1	0
765548	female	NA	1	2515	2	712	37300	1082	751	135	54	362	65	50	26	14	6	75	3	10	47	5	2	5	0	1
775791	male	NA	1	2510	1	1168	1273	1044	5	0	1	4	1	0	0	0	1	4	0	1	3	1	0	0	0	1
778607	male	NA	1	2508	40	333	1137	1717	33	4	5	19	5	2	2	1	1	28	3	3	19	4	2	2	1	0
779113	male	NA	1	2508	1	467	696	1381	4	0	0	4	0	0	0	0	0	4	0	0	4	0	0	0	0	0
780290	male	NA	1	2507	51	916	9087	1014	149	14	7	86	22	5	4	2	2	33	0	0	26	5	0	0	0	0
782364	NA	NA	1	2506	2	0	135	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
788498	male	NA	1	2504	31	226	1457	1326	43	7	3	22	11	3	1	2	1	39	4	3	20	10	1	1	2	1
790517	male	NA	1	2503	1	852	932	1046	19	1	1	14	3	1	1	0	0	18	1	1	13	3	1	1	0	0
790550	NA	NA	1	2503	19	30	228	171	3	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0
801282	male	NA	1	2498	1	77	608	1476	23	3	1	14	1	0	1	1	0	15	0	0	9	0	0	0	0	0
801346	male	NA	1	2498	3	1	29	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
803925	NA	NA	1	2497	22	0	480	188	36	5	5	13	2	1	2	1	0	13	1	3	8	1	0	1	1	0
804749	male	NA	1	2497	15	456	3470	1134	27	1	2	16	0	0	1	0	0	14	0	2	10	0	0	1	0	0
807515	male	professor	1	2495	31	170	1263	354	255	51	48	122	41	24	25	9	9	99	11	27	47	18	7	13	2	4
